Date,Open,High,Low,Close,Volume
2020-01-23,1906.76,1913.62,1884.24,1890.5,2069866
2020-01-24,1890.5,1890.5,1872.42,1883.98,1319430
2020-01-27,1889.42,1892.66,1868.11,1871.78,1549101
2020-01-28,1875.87,1887.78,1856.89,1884.29,1743024
2020-01-29,1885.37,1887.05,1855.17,1859.13,2306761
2020-01-30,1863.79,1868.11,1833.59,1844.68,2098567
2020-01-31,1846.02,1850.29,1787.52,1793.94,3287223
2020-02-03,1856.89,1893.74,1806.15,1814.18,4728073
2020-02-04,1837.04,1843.69,1800.46,1818.71,3509339
2020-02-05,1824.96,1860.95,1815.73,1852.19,2439322
2020-02-06,1850.85,1876.05,1825.4,1836.48,2640065
2020-02-07,1845.67,1856.03,1828.42,1843.56,2083442
2020-02-10,1847.31,1869.83,1828.42,1865.48,2383032
2020-02-11,1866.38,1876.56,1853.09,1858.1,1335820
2020-02-12,1856.11,1885.37,1855.17,1873.07,1620407
2020-02-13,1874.97,1895.72,1873.28,1891.36,1645948
2020-02-14,1887.95,1908.66,1873.29,1884.67,1500115
2020-02-17,1895.68,1912.98,1889.85,1901.11,1774724
2020-02-18,1898.26,1916.43,1886.27,1911.9,2486223
2020-02-19,1911.9,1924.19,1890.11,1895.16,1760463
2020-02-20,1902.19,1910.73,1856.24,1861.03,2317278
2020-02-24,1860.34,1880.14,1817.8,1825.27,3092877
2020-02-25,1825.4,1878.16,1821.51,1860.47,2674567
2020-02-26,1858.62,1867.16,1823.2,1832.39,2686842
2020-02-27,1829.24,1829.24,1800.11,1816.77,2349001
2020-02-28,1784.41,1785.7,1717.11,1725.86,4298076
2020-03-02,1755.94,1772.29,1713.4,1726.86,2667076
2020-03-03,1742.99,1777.51,1736.09,1756.97,2757585
2020-03-04,1774.06,1807.23,1747.31,1797.53,3237002
2020-03-05,1799.68,1853.22,1798.26,1833.64,3937056
2020-03-06,1810.3,1832.43,1787.52,1826.22,2595027
2020-03-09,1790.45,1794.68,1669.65,1701.88,4940975
2020-03-11,1667.92,1714.78,1656.71,1685.78,6796449
2020-03-12,1642.9,1646.7,1517.22,1527.15,8728786
2020-03-13,1456.43,1570.42,1299.52,1558.6,8029720
2020-03-16,1514.33,1589.62,1446.04,1463.77,7844271
2020-03-17,1492.76,1493.62,1400.56,1430.63,5713248
2020-03-18,1446.86,1478.57,1404.53,1427.53,7258778
2020-03-19,1355.65,1464.95,1344.39,1422.27,5135111
2020-03-20,1416.75,1624.48,1414.14,1562.29,8547498
2020-03-23,1408.06,1521.05,1406.1,1451.26,7003490
2020-03-24,1436.78,1538.43,1419.23,1480.33,6350865
2020-03-25,1477.59,1573.2,1460.21,1521.31,2765520
2020-03-26,1591.98,1592.37,1497.19,1556.64,4556067
2020-03-27,1581.89,1607.97,1521.4,1585.8,4331250
2020-03-30,1534.96,1655.77,1532.83,1545.82,8513547
2020-03-31,1597.02,1612.31,1547.13,1587.19,3927593
2020-04-01,1587.02,1594.71,1479.33,1485.2,4941878
2020-04-03,1512.36,1512.36,1434.13,1437.78,5735369
2020-04-07,1486.28,1552.21,1481.94,1542.95,5427577
2020-04-08,1529.74,1569.72,1478.46,1482.33,6285615
2020-04-09,1521.44,1546.08,1504.71,1535.09,5307397
2020-04-13,1530.61,1553.21,1517.57,1529.09,2990438
2020-04-15,1551.47,1574.94,1501.76,1508.14,4761399
2020-04-16,1486.24,1534.0,1455.91,1491.54,6245533
2020-04-17,1564.51,1609.66,1523.66,1569.9,9895823
2020-04-20,1590.58,1590.58,1566.68,1580.72,3244282
2020-04-21,1534.09,1559.82,1501.67,1510.32,5122541
2020-04-22,1510.32,1555.82,1494.24,1538.0,3829836
2020-04-23,1547.13,1651.43,1530.48,1632.52,5934366
2020-04-24,1599.88,1609.66,1571.29,1580.63,2987102
2020-04-27,1592.58,1629.7,1586.24,1596.32,3374741
2020-04-28,1621.01,1623.61,1592.84,1615.83,2678505
2020-04-29,1628.83,1662.33,1608.01,1656.34,4241510
2020-04-30,1720.96,1766.16,1688.11,1750.9,5915544
2020-05-04,1708.79,1708.79,1663.29,1677.89,3729348
2020-05-05,1699.32,1718.35,1674.89,1679.89,2905528
2020-05-06,1686.02,1698.1,1645.86,1654.56,3517431
2020-05-07,1660.12,1681.37,1636.95,1644.17,3166754
2020-05-08,1685.41,1685.76,1639.48,1645.69,2686530
2020-05-11,1659.25,1696.1,1659.25,1682.11,2449841
2020-05-12,1680.46,1700.54,1660.34,1694.45,3256595
